frame,tempo,x,y
1,0.03333333333333333,836,902
2,0.06666666666666667,847,900
3,0.1,860,899
4,0.13333333333333333,874,899
5,0.16666666666666666,890,898
6,0.2,907,897
7,0.23333333333333334,925,896
8,0.26666666666666666,943,893
9,0.3,962,890
10,0.3333333333333333,980,887
11,0.36666666666666664,999,884
12,0.4,1017,881
13,0.43333333333333335,1034,877
14,0.4666666666666667,1049,873
15,0.5,1064,870
16,0.5333333333333333,1076,867
17,0.5666666666666667,1088,864
18,0.6,1097,861
19,0.6333333333333333,1104,858
20,0.6666666666666666,1110,856
21,0.7,1114,855
22,0.7333333333333333,1115,855
23,0.7666666666666667,1114,855
24,0.8,1112,856
25,0.8333333333333334,1107,858
26,0.8666666666666667,1100,861
27,0.9,1090,863
28,0.9333333333333333,1079,865
29,0.9666666666666667,1066,870
30,1.0,1053,874
31,1.0333333333333334,1038,878
32,1.0666666666666667,1021,882
33,1.1,1003,885
34,1.1333333333333333,985,888
35,1.1666666666666667,966,891
36,1.2,947,894
37,1.2333333333333334,928,896
38,1.2666666666666666,910,898
39,1.3,893,899
40,1.3333333333333333,877,901
41,1.3666666666666667,862,901
42,1.4,849,902
43,1.4333333333333333,838,902
44,1.4666666666666666,829,902
45,1.5,822,902
46,1.5333333333333334,818,902
47,1.5666666666666667,815,901
48,1.6,815,901
49,1.6333333333333333,817,901
50,1.6666666666666667,822,902
51,1.7,828,903
52,1.7333333333333334,838,903
53,1.7666666666666666,849,902
54,1.8,862,900
55,1.8333333333333333,876,901
56,1.8666666666666667,893,900
57,1.9,909,899
58,1.9333333333333333,927,897
59,1.9666666666666666,946,895
60,2.0,964,892
61,2.033333333333333,983,889
62,2.066666666666667,1001,885
63,2.1,1019,882
64,2.1333333333333333,1036,878
65,2.1666666666666665,1051,874
66,2.2,1065,871
67,2.2333333333333334,1078,868
68,2.2666666666666666,1088,865
69,2.3,1097,862
70,2.3333333333333335,1105,860
71,2.3666666666666667,1110,858
72,2.4,1113,857
73,2.433333333333333,1114,856
74,2.466666666666667,1113,857
75,2.5,1110,858
76,2.533333333333333,1105,860
77,2.566666666666667,1098,863
78,2.6,1088,866
79,2.6333333333333333,1077,868
80,2.6666666666666665,1064,871
81,2.7,1049,873
82,2.7333333333333334,1034,876
83,2.7666666666666666,1017,879
84,2.8,999,880
85,2.8333333333333335,981,888
86,2.8666666666666667,963,892
87,2.9,944,895
88,2.933333333333333,926,897
89,2.966666666666667,908,900
90,3.0,891,902
91,3.033333333333333,875,903
92,3.066666666666667,860,904
93,3.1,847,904
94,3.1333333333333333,837,904
95,3.1666666666666665,828,904
96,3.2,821,904
97,3.2333333333333334,817,904
98,3.2666666666666666,815,904
99,3.3,815,904
100,3.3333333333333335,818,904
101,3.3666666666666667,823,904
102,3.4,830,904
103,3.433333333333333,840,904
104,3.466666666666667,851,904
105,3.5,865,903
106,3.533333333333333,880,902
107,3.566666666666667,895,902
108,3.6,912,900
109,3.6333333333333333,930,897
110,3.6666666666666665,949,896
111,3.7,968,894
112,3.7333333333333334,986,892
113,3.7666666666666666,1004,890
114,3.8,1022,887
115,3.8333333333333335,1039,885
116,3.8666666666666667,1055,882
117,3.9,1069,879
118,3.933333333333333,1082,876
119,3.966666666666667,1092,873
120,4.0,1101,870
121,4.033333333333333,1108,868
122,4.066666666666666,1113,865
123,4.1,1115,863
124,4.133333333333334,1116,862
125,4.166666666666667,1114,862
126,4.2,1110,862
127,4.233333333333333,1104,863
128,4.266666666666667,1096,864
129,4.3,1085,866
130,4.333333333333333,1074,869
131,4.366666666666666,1061,873
132,4.4,1047,877
133,4.433333333333334,1032,881
134,4.466666666666667,1015,884
135,4.5,997,887
136,4.533333333333333,979,890
137,4.566666666666666,960,893
138,4.6,942,896
139,4.633333333333334,924,898
140,4.666666666666667,906,900
141,4.7,889,901
142,4.733333333333333,873,902
143,4.766666666666667,859,903
144,4.8,847,903
145,4.833333333333333,837,903
146,4.866666666666666,829,903
147,4.9,822,903
148,4.933333333333334,822,903
149,4.966666666666667,817,903
150,5.0,818,903
151,5.033333333333333,821,903
152,5.066666666666666,826,904
153,5.1,833,904
154,5.133333333333334,843,904
155,5.166666666666667,855,903
156,5.2,869,902
157,5.233333333333333,883,902
158,5.266666666666667,899,901
159,5.3,917,900
160,5.333333333333333,935,898
161,5.366666666666666,953,896
162,5.4,972,893
163,5.433333333333334,990,889
164,5.466666666666667,990,890
165,5.5,1025,883
166,5.533333333333333,1041,879
167,5.566666666666666,1056,875
168,5.6,1069,872
169,5.633333333333334,1081,869
170,5.666666666666667,1092,866
171,5.7,1100,863
172,5.733333333333333,1106,861
173,5.766666666666667,1111,860
174,5.8,1113,859
175,5.833333333333333,1114,859
176,5.866666666666666,1111,860
177,5.9,1108,861
178,5.933333333333334,1103,864
179,5.966666666666667,1095,867
180,6.0,1085,869
181,6.033333333333333,1073,872
182,6.066666666666666,1059,874
183,6.1,1045,876
184,6.133333333333334,1029,879
185,6.166666666666667,1012,881
186,6.2,994,883
187,6.233333333333333,976,885
188,6.266666666666667,957,890
189,6.3,940,892
190,6.333333333333333,922,894
191,6.366666666666666,905,896
192,6.4,905,896
193,6.433333333333334,873,899
194,6.466666666666667,860,899
195,6.5,848,900
196,6.533333333333333,838,900
197,6.566666666666666,831,900
198,6.6,825,900
199,6.633333333333334,821,900
200,6.666666666666667,820,900
201,6.7,821,900
202,6.733333333333333,825,900
203,6.766666666666667,830,900
204,6.8,838,900
205,6.833333333333333,848,899
206,6.866666666666666,859,899
207,6.9,873,898
208,6.933333333333334,888,898
209,6.966666666666667,904,896
210,7.0,921,896
211,7.033333333333333,939,894
212,7.066666666666666,957,891
213,7.1,975,887
214,7.133333333333334,993,883
215,7.166666666666667,1009,879
216,7.2,1026,874
217,7.233333333333333,1042,872
218,7.266666666666667,1056,869
219,7.3,1069,866
220,7.333333333333333,1080,864
221,7.366666666666666,1090,861
222,7.4,1098,859
223,7.433333333333334,1104,857
224,7.466666666666667,1108,855
225,7.5,1109,855
226,7.533333333333333,1109,855
227,7.566666666666666,1107,855
228,7.6,1104,857
229,7.633333333333334,1098,859
230,7.666666666666667,1090,861
231,7.7,1080,864
232,7.733333333333333,1068,867
233,7.766666666666667,1055,871
234,7.8,1041,874
235,7.833333333333333,1025,878
236,7.866666666666666,1008,881
237,7.9,991,885
238,7.933333333333334,973,890
239,7.966666666666667,955,892
240,8.0,936,895
241,8.033333333333333,919,896
242,8.066666666666666,902,897
